"id","site","gender","age_months_t1","age_group_t1","age_months_t2","age_group_t2","cpa_1_t1","cpa_2_t1","cpa_3_rs_t1","cpa_4_t1","cpa_5_rs_t1","cpa_6_t1","cpa_7_t1","cpa_8_t1","cpa_9_t1","cpa_10_t1","cpa_11_rs_t1","cpa_12_t1","cpa_1_v2_t2","cpa_2_t2","cpa_3_rs_t2","cpa_4_t2","cpa_5_v2_t2","cpa_6_t2","cpa_7_t2","cpa_8_t2","cpa_9_t2","cpa_10_t2","cpa_11_rs_t2","cpa_12_t2","language"
"CA_pr1_184_4_g",1,1,54,"5",69,"6",4,4,2,4,4,3,3,4,3,2,3,3,2,3,2,4,2,2,3,3,3,3,3,3,"1"
"CA_pr1_186_4_g",1,1,51,"4",63,"5",3,NA,3,2,1,3,1,1,2,2,1,1,2,NA,2,NA,3,4,3,1,3,1,2,1,"1"
"CA_pr1_187_7_g",1,1,88,"6",100,"7",4,2,3,2,2,2,1,1,2,3,3,1,2,3,3,3,2,3,1,3,2,4,3,3,"1"
"CA_pr1_190_7_b",1,0,84,"6",97,"7",4,4,3,4,2,3,1,4,3,3,4,3,2,3,3,3,4,2,2,4,3,4,4,4,"1"
"CA_pr1_191_5_g",1,1,67,"6",80,"7",4,4,4,4,4,3,3,3,3,4,4,4,2,2,4,2,2,2,2,4,3,2,2,2,"1"
"CA_pr1_192_6_g",1,1,80,"6",NA,NA,4,2,3,3,2,2,2,3,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"CA_pr1_193_6_g",1,1,76,"6",88,"7",4,2,2,4,4,1,4,3,4,2,4,2,4,4,NA,4,4,2,4,4,4,4,4,NA,"1"
"CA_pr1_194_3_g",1,1,47,"4",60,"5",4,3,3,4,4,2,3,4,4,3,1,4,4,4,1,3,4,3,4,4,3,3,3,3,"1"
"CA_pr1_196_3_b",1,0,42,"4",NA,NA,4,2,2,NA,4,2,1,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"CA_pr1_197_6_g",1,1,81,"6",93,"7",4,3,3,3,3,3,1,4,NA,NA,4,3,4,4,2,4,2,2,1,3,2,3,3,1,"1"
"CA_pr1_198_4_g",1,1,51,"4",65,"5",2,3,3,3,3,2,3,3,3,2,1,2,2,2,3,3,2,2,2,3,3,2,3,1,"1"
"CA_pr1_199_4_b",1,0,51,"4",64,"5",4,NA,2,3,3,2,NA,NA,NA,NA,1,NA,3,NA,2,2,1,2,NA,3,2,2,2,NA,"1"
"CA_pr1_201_4_b",1,0,52,"4",64,"5",3,3,4,2,2,4,2,4,3,1,2,NA,3,3,2,3,2,2,2,3,3,3,2,3,"1"
"CA_pr1_202_4_b",1,0,52,"4",64,"5",2,4,NA,3,3,2,1,4,2,NA,2,2,2,2,2,3,2,1,1,4,2,1,3,1,"1"
"CA_pr1_206_6_b",1,0,73,"6",86,"7",4,2,4,2,2,2,3,4,3,1,3,2,2,2,3,2,2,1,2,2,2,2,2,NA,"1"
"CA_pr1_208_4_g",1,1,48,"4",59,"5",3,2,3,3,2,4,2,4,2,3,NA,3,3,2,2,NA,3,2,2,4,2,NA,3,NA,"1"
"CA_pr1_209_6_b",1,0,77,"6",89,"7",3,2,2,2,3,1,2,3,3,2,3,1,2,3,1,3,2,2,3,2,3,2,3,NA,"1"
"CA_pr1_210_6_b",1,0,82,"6",94,"7",1,NA,3,2,3,3,3,4,4,1,3,2,4,1,3,3,3,2,3,2,4,2,2,1,"1"
"CA_pr1_211_6_b",1,0,73,"6",85,"7",3,2,2,2,4,2,4,3,4,3,4,2,2,4,2,4,4,2,4,2,3,3,4,4,"1"
"CA_pr1_212_4_g",1,1,54,"5",66,"6",3,2,2,2,1,1,2,3,2,1,3,2,2,1,3,2,3,2,1,2,2,2,3,1,"1"
"CA_pr1_216_5_g",1,1,68,"6",80,"7",4,2,2,3,3,2,3,3,4,3,2,2,4,3,2,4,3,3,4,4,4,4,3,3,"1"
"CA_pr1_217_5_g",1,1,69,"6",83,"7",3,2,3,3,2,2,1,2,2,2,3,2,1,2,2,2,3,3,1,2,3,NA,4,NA,"1"
