"","lhs","op","rhs","label","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all"
"124","HE_T2","~~","SH_T2","",0.553330879463117,0.0634949201608394,8.71456926099713,0,0.428883122746626,0.677778636179609,0.553330879463117,0.553330879463117
"125","HE_T2","~~","CO_T2","",0.431538340798376,0.0706730106448434,6.10612646696214,0.00000000102078145935991,0.293021785255467,0.570054896341285,0.431538340798376,0.431538340798376
"126","SH_T2","~~","CO_T2","",0.392502114740626,0.0587553954897135,6.68027355563188,0.0000000000238495889703927,0.27734365568338,0.507660573797871,0.392502114740626,0.392502114740626
"127","CPA_3_RS_t1","~*~","CPA_3_RS_t1","",0.888558043602962,0,NA,NA,0.888558043602962,0.888558043602962,0.888558043602962,1
"128","CPA_6_t1","~*~","CPA_6_t1","",0.564350913518926,0,NA,NA,0.564350913518926,0.564350913518926,0.564350913518926,1
"129","CPA_5_RS","~*~","CPA_5_RS","",0.900322060024825,0,NA,NA,0.900322060024825,0.900322060024825,0.900322060024825,1
"130","CPA_7_t1","~*~","CPA_7_t1","",0.695842091170043,0,NA,NA,0.695842091170043,0.695842091170043,0.695842091170043,1
"131","CPA_9_t1","~*~","CPA_9_t1","",0.513677899667053,0,NA,NA,0.513677899667053,0.513677899667053,0.513677899667053,1
"132","CPA_2_t1","~*~","CPA_2_t1","",0.599820878812419,0,NA,NA,0.599820878812419,0.599820878812419,0.599820878812419,1
"133","CPA_4_t1","~*~","CPA_4_t1","",0.570050945546148,0,NA,NA,0.570050945546148,0.570050945546148,0.570050945546148,1
"134","CPA_10_t1","~*~","CPA_10_t1","",0.769930475836941,0,NA,NA,0.769930475836941,0.769930475836941,0.769930475836941,1
"135","CPA_12_t1","~*~","CPA_12_t1","",0.672777444852841,0,NA,NA,0.672777444852841,0.672777444852841,0.672777444852841,1
"136","CPA_1_V2","~*~","CPA_1_V2","",1.49654317547063,0,NA,NA,1.49654317547063,1.49654317547063,1.49654317547063,1
"137","CPA_6_t2","~*~","CPA_6_t2","",0.629234790272553,0,NA,NA,0.629234790272553,0.629234790272553,0.629234790272553,1
